context,question,answerA,answerB,answerC,label
Sasha grabbed Robins head and gave it a good shake.,Why did Sasha do this?,joke around,bully,better,1
Lee left a mess upon Ash after shaking the soda can and opening it in Ash's face.,How would you describe Lee?,kind,mean,considerate,2
Sasha works at the doctor's office.  She protected the patient's information.,What will happen to Others?,sasha who has worked at doctor's office,want Sasha to appreciate them,appreciate Sasha's efforts,3
Alex paid money to get some expert advice on all of the details.,Why did Alex do this?,did not need any information,read through all of the details,make an educated choice,3
Remy answered the question that was intended for someone else.,How would someone else feel as a result?,very happy,they were rude,very smart,2
Alex wanted to learn how to play the guitar on his own and set the plans into motion.,What will Alex want to do next?,rent a guitar,sign up for classes,find a tutor,2
Robin told Carson that they needed some help with moving to a new home.,What will Carson want to do next?,buy a cat,move,borrow boxes,3
Tracy went out with their friends and Tracy decided to pay for their entire bill for everyone.,How would Tracy's friends feel as a result?,that Tracy won't want to pay for anything again,a big spender,that Tracy acted unselfishly,3
Riley was the best of friends when he was in a good mood.,What will happen to Riley?,resentful,unloved,be loved by many,3
Tracy gave money to my friend who needed it but failed to by it back as they promised.,What will happen to Tracy?,yell at them,be disappointed in them,lose trust in my friend,3
"Casey was the main actor in Jordan book,Jordan mentioned him in chapter one to make aware her to the reader.",Why did Jordan do this?,tell Cameron about the story,eliminate the actor,make his story intresting,3
Riley regarded Jesse with suspicious eyes when Jesse held out the flowers.,What will happen to Riley?,be proposed to by Jesse,fail to impress Riley,be distrusted by Riley,1
Quinn decided for a change so they colored their hair red.,What does Quinn need to do before this?,Comb his hair,Cut their hair,Buy hair conditioner,3
Skylar gave Austin some pills so he could get high too.,Why did Skylar do this?,didn't care about Austin,Purchase pills,enable Austin to do great things,1
Cameron moved Kendall's body because they didn't want anyone to see.,What will Cameron want to do next?,escape,admit to their crime,they were being discreet,1
Alex grew closer to their sister after their parents died in a car accident.,How would Alex feel afterwards?,sad about their parents,comforted,ignored,1
"When Casey found Aubrey drunk in their car, Casey called Aubrey's parents.",What will happen to Casey?,take Aubrey back home,find Aubrey new friends,not have Aubrey as a friend,1
Jesse went apple picking on a raining day.,What does Jesse need to do before this?,pick some apples,bring apples home,dress appropriately,3
Riley went out to the club with some friends excited for the weekend.,What will Others want to do next?,get dressed for the club,ask his friends if they are trying to go clubbing,Stay up really late,3
"Jesse was taking a class and he really admired his professor. To impress them, Jesse studied a lot, and as a result, Jesse did well on the test and his professor congratulated him.",How would Jesse feel afterwards?,Accomplished,focused and driven to succeed in class,hard working and dedicated to their work,1
robin wrapped their arms around Ash's shoulders and went in for a kiss.,What will Robin want to do next?,hurt ash,ask ash on a date,pull away,2
"Carson tried to fight Robin, but Robin refused to fight.",What will happen to Robin?,fight alone,be alone,good about themselves,3
"Riley and Sydney are best friends, Riley sold Sydney's painting to the bidder after she stole it from her house.",What will happen to Sydney?,aweful she never expected this,lie about it,take the money,1
Jordan wanted to be the best student so she told her classmates the incorrect answers for the test and Jordan affected the children's grades.,Why did Jordan do this?,laugh at their misfortune,earn the highest grade,pat herself on the back for being so clever,2
Carson's son was not allowed on the Other's football team because of his poor eyesight. Carson took his son to the eye doctor.,What will Others want to do next?,pick out eyeglasses,refuse Carson's admittance,accept Carson's son,3
tracy brought the kids to the party and everyone found the kids to be annoying.,What will Others want to do next?,go to the party,go somewhere else,include the kids,2
Quinn stole a phone from Casey and then showed it off to Casey's friends.,What will happen to Quinn?,they will be thanked,they will be rewarded,they will get arrested,3
Robin went with Jan's friends to the park to play some games for hours.,What will Jan want to do next?,go home and shower,proud,go home and sleep,1
Taylor got drunk at their friend's party and become louder.,What will Taylor want to do next?,better,say nothing because he did not remember,make others laugh,3
Taylor had gotten very drunk and pissed on Jesse's bonfire.,What will happen to Taylor after the fact?,yell at taylor,taken aside so that they can sober up,beaten up by Jesse's other friends,2
Jesse showed Sydney's friends how to bake a cake but it was left in the oven too long and burned.,What will Jesse want to do next?,teach everyone how to bake,Give the cake to friends,Bake a new cake,3
Sydney asked mom if Ash could have a dollar to buy candy for herself.,What will Ash want to do next?,borrow candy,know Ash wanted candy,be nice to the mom,3
Bailey passed Jesse an examination booklet and they both grabbed their pencils and waited for the go ahead to start the test.,What will Jesse want to do next?,do well on the test,finish the test,fill in the test,1
Riley granted Jan the highest title of the kingdom and celebrated with a feast.,What will Jan want to do next?,celebrate all night with the kingdom,proud,indifferent,1
Lee spent the whole night trying to beat the boss on level 4.,What will Lee want to do next?,stop and go to bed,decide he hates the game,Beat the boss,3
Riley wanted to ask their friends advice about what to do for a job.,What will Others want to do next?,wanted to do something important,wanted to find an enjoyable job,listen carefully,3
Carson was at a friend's house across town from where he lived playing video games.,How would Carson feel afterwards?,sad that he will have to stop playing video games,too dark outside,ready to go for a short stroll back to his home,1
Cameron picked Robin up from the airport after Robin spent many years living in oversea.,Why did Cameron do this?,welcome friend,would need to get a room ready for Robin,Caemron would need to find out what time Robin was arriving,1
Jan visisted home for Christmas after finding out that their grandfather had died.,What does Jan need to do before this?,needed to tell her family she wasn't coming home,needed to book a plane ticket,remember Jan's grandfather during Christmas,2
"Tracy went camping during the weekend, but it rained so hard the tent got saturated.",What will Tracy want to do next?,wanted to experience nature,go home,find a place to swim,2
Riley got free of the guard and ultimately was able to make her escape.,What does Riley need to do before this?,have known about the guard's practices,needed to be lackadaisical about it,be free,1
Jesse drove Ash to the airport and dropped them off at the airport with ease.,How would Jesse feel afterwards?,drained,After the airport drop off he went to the ticket counter,dropped me off at the airport,1
Kai grabbed Carson's tools and put them away because Carson was too lazy to do it themselves.,What does Kai need to do before this?,gather the tools,wonder who put his tools away,wonder were his tools are,1
Riley said it was better to go than to stay at the party.,How would you describe Riley?,wanting to go home,guilty about leaving,wanting to leave,3
Quinn wrapped their arms around Jordan before pulling out the gift that they had been hiding.,What does Quinn need to do before this?,pick out a gift for Jordan,be caring,hold the gift in plain sight,1
Ash spent time making sure people understood his work. Ash used metaphors throughout the book to connect with others.,What will Ash want to do next?,did this to help explain,did this to be understood,display his book,3
Alex wanted to be on their own. They left Robin's side.,How would you describe Alex?,independent,This wanted to be on their own to Alex,scared,1
Kai observed and improved Jan's work.,What will Kai want to do next?,be effective,get praise,get incredible,2
Addison regarded every girl as somebody who should be treated by their actions.,How would Others feel as a result?,bored now,loved now,passive now,2
Riley screamed in pain as the person across from them smashed their fists into Riley.,What does Riley need to do before this?,need to do nothing,need to sit still,need to try to escape,1
Tyler was all out of bagels so he decided to eat cereal instead.,Why did Taylor do this?,add fruit to the cereal,add milk to the cereal,had no bagels left,3
Kendall was a bad cook. They burned water and ruined the recipe for ice.,How would you describe Kendall?,in need of knitting lessons,unskilled afterwards,in need of cooking lessons,3
Robin and Casey were trying to come up with a plan. Casey did not like any ideas. Robin proposed another idea.,How would Casey feel as a result?,very content,not pleased with it,so happy,2
Kendall wrapped a bandage around my neck after getting injured in a fight.,What will Kendall want to do next?,harm them,punish them,protect them,3
Tracy gave a gift to my friend and told my friend that I had suggested the gift.,What will happen to my friend?,indebted to me,wonder where my gift is,thank me for the advice I gave,3
Kendall was being careless and accidentally set fire to Sydney. Sydney had to go to the hospital because of the burns.,How would Kendall feel afterwards?,remorseful,dangerous to be around,reckless,1
Kendall wrapped string around my neck to measure the collar of a shirt.,What will Others want to do next?,Measure other body parts,Buy pants,buy a shirt,1
Aubrey fulfilled Alex's requests.,What will Aubrey want to do next?,work harder on the requests,work on the next one,requesting,2
Cameron had read a book about the crusades and knew enough about the subject.,Why did Cameron do this?,spend time reading books,learn about baking cookies,teach others about the crusades,3
Robin went to the big party with Jan's friends after being invited.,What will Robin want to do next?,Get away from Jan's friends,Mingle with others at the party,wanted to have a good time,2
Carson tried to fight Robin last night when they were drunk.,How would you describe Carson?,a drunkard,guilty,upset,1
"Kendall opened their mouth to speak about their beliefs, which happened to go against the beliefs of everyone else in the room.",What will happen to Others?,compatible with Kendall,uncomfortable with Kendall,agreement with Kendall,2
Sydney had a christmas party at their house and everyone was going to exchange presents.,What will Others want to do next?,invite everyone,talk about the party,see what they got,3
Robin went with Jan's friends to school so Jan could rest at home from being ill.,What will happen to Jan?,relax at home,make friends,get upset,1
Sydney provided Aubrey's estimate. Aubrey looked at the paper with a straight face.,What will Aubrey want to do next?,figure out an estimate for Aubrey,put it off indefinitely,Talk to Sydney,3
"To celebrate their twenty first birthday, Sasha spent a weekend with family at the beach.",What does Sasha need to do before this?,have fun,pack their suitcase and buy a new swimsuit,pack their purse and buy a new jacket,2
Cameron wasted money on an expensive handbag.,Why did Cameron do this?,regret her actions,buy a status item,resent her waste,2
Robin shut Riley's eyes to the fact that he didn't want her to see the sex scene from the movie.,How would Riley feel as a result of this?,scared of the scene,like a baby,protective of Riley,2
Jan needed help with math and got tutoring from Kia and improved her work.,How would you describe Kai?,Feels happy,Feels smarter,As someone who knows how to teach,3
"After the first solution failed, Robin had to brainstorm a better idea.",What will Others want to do next?,adopt the new solution,question Robin's motives,question Robin's authority,1
"Riley told her dog Lee to ""stay"" so he didn't follow her down the street.",Why did Riley do this?,move quickly down the street,dislikes animals,didn't want the dog to get hurt,3
Casey put food into the oven so that the family could eat when it was ready.,What does Casey need to do before this?,check on the food,preheat the oven,converse with family,2
Kai studied all day and finished her homework first.,What does Kai need to do before this?,Take a nap,sharpen her pencils,Class to submitted to homework first,2
Alex saw someone behaving very stupidly so Alex made a deprecating comment.,Why did Alex do this?,make fun of them,be friendly to the person,make the person stop,1
"Riley was more competent than her manager, but the manager was so arrogant Riley could not get a word in edgewise.",What will the manager want to do next?,make Riley work harder,be quiet,replace the manager,1
Riley fought Kendall in a battle that left Kendall with an injured leg.,What will Kendall want to do next?,go to a doctor,gloat at their victory,run away,1
Skylar offered Riley resistance after Riley wanted to take Skylar out to a new bar.,How would Riley feel as a result?,straight edge,like Skylar does not like them,a close friend,2
Tracy crowded around the group to tell them her funny story.,What will Tracy want to do next?,leave,make them laugh,tell her story,2
Lee made copies of the their poster before starting his mayoral campaign.,What does Lee need to do before this?,needed to design the poster for his campaign,has the funds,needed to drop out of the campaign,1
"Riley was hired as a real estate agent, and sold Sydney's house at an auction to the bidder.",Why did Riley do this?,sell the house,lose his job,ruin his reputation,1
Sydney took the trash to the burn barrel then set the trash on fire.,What will Sydney want to do next?,Go inside,Put out the fire,Gather the trash needed for disposal,1
"Taylor was best friends with her childhood neighbor and after years of being such good friends, Taylor married the neighbor.",How would Others feel as a result?,happy for the house,a good friend,happy for the couple,3
Remy understood every word of what their teacher was teaching.,How would you describe Remy?,that he understood the subject,As someone that listened to the teacher,much better informed,2
Lee challenged Rob to a fight after school for hitting on his girlfriend.,What will Rob want to do next?,injure Rob,defend his girlfriend,talk it over,3
Jesse closely considered the signs when lightning struck her house three times.,How would Jesse feel afterwards?,happy,glad,superstitious,3
Robin swings the car door open after they arrive to the new mall in town.,What does Robin need to do before this?,shop at the mall,get into a car,go inside the mall,2
Jan came over one night. The house was messy and smelled.,What will Jan want to do next?,was feeling ill and needed to rest,go to sleep all day at the house,not go back to the house,3
"Jesse was working for Edward Nigma. So, Jesse set Robin's case on fire.",What will happen to Robin?,have to get a new case,get punished,get reprimanded,1
Skylar rubbed their hands together but the people still looked very cold.,What will Skylar want to do next?,Give them a warm blanket,Give them an ice cream cone,Take off their coats,1
Skylar was able to ease their mind after receiving a good grade on the test.,How would you describe Skylar?,proud of Skylar,nervous,at peace,3
Casey told their problems to the mail person that delivered to their home.,What will Casey want to do next?,be pushy,say goodbye,be rude,2
Kendall caught Jordan's eyes when Kendall wore a new dress for the party.,How would Kendall feel afterwards?,pretty,happy she decided to wear the new dress,ugly,1
Taylor had to throw it away because it was spoiled.,How would you describe Taylor?,sanitary,clean,dirty,1
Kai went camping with friends and ate something made him really ill.,What will Kai want to do next?,stay in the woods,go to the hospital,play cards,2
Kai grabbed Carson's tools for him because Carson could not get them.,How would Carson feel as a result?,inconvenienced,grateful,angry,2
Someone stole Kendall's purse and she was able to snatch it back right away.,What will Others want to do next?,run away,cry hard,slap his friend,1
"Aubrey lived in Carson's house, but never cleaned up after herself, annoying Carson.",What will Carson want to do next?,keep the house tidy,have a talk with Aubrey,have a date with Aubrey,2
Riley had a lot of friends.,What will happen to Riley?,they will play with Riley,they will like Riley,interacted outside the home a lot,1
Robin went to the polls and posted her ballot for the candidate she wanted.,What will Robin want to do next?,bomb the candidadte,attend a rally,go home,3
Kendall wrapped string around my neck in order to kill me.,What does Kendall need to do before this?,Throw the string away,Find a reason,Kill someone,2
"Ash performed better after drinking coffee, but had to give it up due to acid reflux.",What does Ash need to do before this?,drink water,drink lemonade,start having stomach pains,3
"Carson had a stressful day at work, so Carson went to a friend's house to play video games.",How would Carson feel afterwards?,overworked,much more relaxed,tense,2
skylar went shopping with friends in order to buy expensive clothes even though their friends were poor.,What will Others want to do next?,get something,needed to have friends,get nothing,3
"Teaching the anatomy class, Lee touched a nerve to demonstrate.",What will Others want to do next?,discuss the nervous system,take notes,get distracted,2
Kai had some choice words to say but she decided to keep the language in check.,How would you describe Kai?,intelligent,ignorant,like the better person for not engaging in the petty fight,3
Jan gave Sydney a necktie and Sydney put it on and it looked really good.,What does Jan need to do before this?,congratulate him,dress him up more,of gotten out a neck tie,3
Sasha worked as a nurse and often stepped in and protected patients rights.,What will happen to the patients?,get sicker due to poor conditions,show Sasha their appreciation with cards,get a new promotion,2
Cameron was at a concert and the fans loved his music.,Why did Cameron do this?,make more money,keep his fans happy,get better at playing,2
Tracy took Jesse's music students to the park for a concert because Jesse was running late.,How would you describe Tracy?,a good teacher,a caring person,closer to the kids,2
Bailey expressed their thoughts in words.  He was always very expressive.,What does Bailey need to do before this?,Others will talk freely with Baily,speak without thinking,think about what to say,3
Robin had thought about if for a week and decided to take Kai's advice.,What is Robin going to do?,a person who took Kai's advice,Became a deputy,strangely close ties all their lives,1
Remy got a ride from their friends to school this morning.,Why did Remy do this?,see their friends,thank their friends,drive to school,1
Cameron got out of their way when they were walking by.,How would Others feel as a result?,fearful and paranoid,quite respected,very lonely,2
Jan took me to NYC to celebrate my birthday before the baby was born.,What will Others want to do after?,leave me in NYC,wish me a happy birthday,get a flight to NYC,2
taylor knew kai was ignorant so he filled kai's mind with dangerous ideas.,What will happen to Kai?,guilty,indoctrinate a person,kai will do something stupid,3
Robin made Taylor comment on the food after they were disgusted.,What will Taylor want to do next?,ignore it,leave abruptly,be tactful,3
"Jordan took many public speaking classes, and as a result, Jordan was no longer nervous.",How would you describe Jordan?,confident,agitated,felt better about doing public speaking,1
"Carson was trying to study for a big test, so Carson turned Sydney's music down.",Why did Carson do this?,listen to loud music,make Sydney upset,make things quiet,3
Riley gave Jesse a scornful look after Jesse mishaved.,How would you describe Riley?,happy,annoyed,pleased,2
Remy resisted the urge to go on that shopping spree and left the money in their account.,How would Remy feel afterwards?,irresponsible with their money,like they make the right choice,upset with their choice,2
Remy challenged them to a game of racquetball at the local YMCA gym.,Why did Remy do this?,was bored and decided to gather some people for a good game of racquetball,was bored and decided to he wanted them to go to the gym and watch him not show,win the game,1
Cameron took Kai's complaints seriously after Kai came to her crying about the event.,What will Cameron want to do next?,be kind,put the matter off,investigate the matter,3
Riley began to hurt after her friend was mean to her.,How would you describe Riley?,disappointed,sad,sensitive,2
Sydney made some friends at their new place that they were working.,What will Sydney want to do next?,pay the friends,manipulate the friends,talk to the friends,3
Robin was very good at playing the flute and could play it long.,What does Robin need to do before this?,Practice breathing exercises,Skip days of practice,find a manager,1
Carson was starting a new job at the day care. Carson took care of children at a past job.,How would Others feel as a result?,nervous,happy,unhappy,2
Remy answered the silly question they were asked happily.,Why did Remy do this?,know the answer,think about fun,have fun,3
Addison had run away after being mistreated by their wicked stepmother.,How would you describe Addison?,concerned for their safety,free spirit,giving roses to the stepmother,1
Kendall went to a bar and drank booze every night.,Why did Kendall do this?,Celebrate his birthday,get a friend to drive,forgot his problems,3
Jan was fired from their job to send a message to the other employees that anybody can be fired.,How would other employees feel as a result?,quite guilty,a lot of excitement,worried about being fired,3
Jesse just got a haircut and Riley was observing him with her eyes.,What will happen to Jesse?,Give a compliment to Jesse about his hair/,go for a haircut,see Jesse's haircut,1
Quinn was done with the wrench so he handed the tools back.,How would Quinn feel as a result?,forgetful,on his own,thoughtful,3
Sasha kept the baby and started applying for jobs.,What will Sasha want to do next?,needed to find a job,go shopping next,care for the baby next,3
Robin took the test quickly because they wanted to pass quickly with flying colors.,What will Robin want to do next?,pass,do well on the test,fail,2
Sydney's painting was sold to the bidder after Riley declared to sell it.,What's going to happen to Riley?,be mad the bidder didn't pay enough for it,good for selling the painting to a bidder,be upset that the bidder wanted to buy it,2
Addison was mad at the character so they threw a pie at them.,How would Addison feel afterwards?,clownish,remorse,furious,2
Jesse was out sick for the day so Tracy was covering his class. She took his student's to the playground for recess.,What will Jesse want to do next?,get better,review their homework,cover the next lesson,1
Jordan left early from wrok in the summer while it was still sunny out.,What will Jordan want to do next?,tell his boss they are going,clock out,hang out in the sun,3
Kai couldn't find an ingredient she really needed for a special dinner.,Why did Kai do this?,go to the store,Make the special dinner a certain way,Stock up some groceries,2
"Sydney appeared wounded, on the ground, so Kia Crowded around Sydney to assess the damage.",What does Kai need to do before this?,go to the hospital next,Be worried,Panic,2
Quinn held onto Tracy's forms because Tracy didn't want Quinn to lose them on the bus.,How would Tracy feel as a result?,be mad about being the form guide,dutiful,be relieved to not have to locate the forms,2
Austin got extra help with the homework from his tutor since he was falling behind in class.,What will the tutor want to do next?,do their own homework on time,review homework with Austin,realize he was doing poorly in class,2
Robin was on a long road trip and had to stop by a gas station. Robin got out of the car and pumped their gas.,What does Robin need to do before this?,park the car,light a cigarette,have a full gas tank,1
Jordan decided to have a picnic in the park to cheer his sister up.,How would you describe Jordan?,Like a good brother,unfriendly,considerate,1
Jesse was a new person who just started at Riley's work.  Riley had heard rumors that Jesse was hoping to get the management position that Riley secretly had their heart set on.,What will Riley want to do next?,find out more about Jesse,wanted to protect their dream job,ignore Jesse,2
Carson's mother does not allow them to play video games. Carson's mother found out that Carson was at a friend's house playing video games.,What will happen to Carson?,Carson's friend will ground them,Carson's mother will scold them,Others will be punished,2
Aubrey went on a two week camping trip. Aubrey arrived at the campsite.,What will Aubrey want to do next?,enjoy the outdoors for a couple weeks,get away from the stress of everyday life,build a fire,1
Cameron turned and looked at skylar in a way that was suggestive and not polite.,How would Skylar feel as a result?,a predator,like leaving,happy about the look,2
Kendall was watching a friend's dog. Kendall didn't know anything about  the dog.,How would Kendall feel afterwards?,like they are confident they can do it,good with animals,that they should ask their friend what  to do,3
Taylor repeated the Lord's request so that everyone would know what to do.,How would Others feel as a result?,sad to have a direction,happy to have a direction,bad about the request,2
Jesse showed Sydney's friends how to bake a cake when they were all together.,Why did Jesse do this?,eat the cake,share the cake,eat dessert,2
Kendall knew that Skylar has a difficult work schedule and needed to accomodate that when planning the vacation.,How would Skylar feel as a result?,grateful to Kendall,excited about work,that they are looking forward to their vacation,1
"After rushing to make it to the gate, Robin missed his flight, so Cameron picked him up from the airport.",What will happen to Robin?,be in a car,pick up their friend,be on a plane,1
Quinn got two jobs and finally moved to a new house.,How would you describe Quinn?,someone who likes to buy new clothes,Very excited,hardworker,3
"Skylar was pushed by the bully in the lunch line, so Skylar poured milk over their head.",What will Skylar want to do next?,Run away,Wait for a reaction,wanted to fight with the bully,1
Riley watched Jesse with their eyes as they walked out of the door.,What will happen to Jesse?,have eyes on them,the past,stalked,1
Riley regarded Jesse's test paper with observant eyes to ensure accurate grading.,What will Jesse want to do next?,Double check the people they weren't sure about,Wait to see if they get a good grade,hand the graded paper back to him after,2
Kai crowded around Sydney to help conserve heat.,How would Sydney feel as a result?,protected as a result,felt warm,felt comforted,2
Remy saved the apartment from destruction by holding a protest on the steps.,How would Others feel as a result?,angry about their apartment,proud of Remy,sad that Remy helped them,2
Jordon made light of my ailment of a broken ankle.,Why did Jordan do this?,was jealous of my ankle,was just making a joke,wanted to hurt my feelings,2
Kendall was jealous that it was their sister's birthday that day.,What will happen to Others?,give Kendall all the toys,loved,encourage Kendall to share,3
Sydney had a christmas party for her coworkers at the restaurant.,What will Sydney want to do next?,ignore the guests,plentiful,forget to order refreshments,2
Alex was saving up for a new car. Alex sold books on amazon.,What will Alex want to do next?,buy more books on Amazon,spend all the money on books,save all the money from selling books,3
Kendall accidentally set her school on fire when she went in to change a test.,What will Kendall want to do next?,find her old test to exchange,put out the fire,go to sleep,2
bailey decided to play a card game with her friends. Bailey held the cards.,How would Others feel as a result?,angry,uptight,cool,3
Taylor attended their father's funeral after he passed away from cancer.,What does Taylor need to do before this?,honor their father,mourn their father,travel to the funeral,3
Kai practiced her dance routine for months on end.,How would you describe Kai?,she was Enduring,she was lazy,she had no motivation,1
Kendall kept the ball rolling and asked the next contestant a question.,Why did Kendall do this?,stop the game,lose her role as host,keep the game moving,3
"Jesse was tasked by Addison to babysit, walk, and care for her dog.",What will happen to Jesse?,like dogs,she will do it,be cruel to the dog,2
Casey invited his parents over for dinner one night. He was preparing a meal and put food into the oven.,How would Casey feel afterwards?,sad,a good cook,proud,3
Jan wasted all their money when she went gambling.,What will Jan want to do next?,spend on credit cards,lose more money,get help for her addiction,3
Riley was not able to get a word in edgewise when having dinner out with her family.,What will her family members do next?,yell at the family,Reschedule Riley to talk at a future dinner,Take turns speaking so everyone can be heard,3
Skylar took a gander at the dogs as he was looking at them in the store.,Why did Skylar do this?,get a new dog,get a cat,take a nap,1
lee worked hard but in the end he succumbed to cancer.,What will Lee want to do next?,stay dead,say goodbye to their loved ones,watch over his family in the afterlife,3
Aubrey and Ted was on a fishing trip when a shark hit the boat and Aubrey fell out of it.,What does Ted need to do next?,Ted was very shocked and scared and he started hollering at Aubrey to grab his hand to pull her out,go to the boat,Ted was very shocked and scared and he rowed away from the area of danger very quickly forgetting Aubrey,1
"Carson attended school for three years, until they got kicked out.",How would Carson feel afterwards?,a liar,thankful,cheated,3
Quinn knew what was going on after seeing the cashier stealing from the till.,What will Quinn want to do next?,work with the cashier,needed to steal from the till too,report the crime,3
Taylor pissed on Jesse's bonfire after getting into a fight with Jesse over a girl.,What will happen to Jesse?,Jessie will hug Taylor,Jessie will high five Taylor,with attack Taylor,3
Austin took them out for dinner on that cold evening in Chicago.,What will Austin want to do next?,swim in the ocean,loves them,go home,3
Robin had fasted for 30 days and nights as part of a religious feast.,How would you describe Robin?,was full up,thinner,was craving sweet things,2
Carson could not open the jar and began to become frustrated.,What will Carson want to do next?,Continue trying,Kick the jar,Throw the jar,1
Taylor gave help to a friend when she was moving houses.,How would you describe Taylor?,caring,like a good friend,like they did a good deed,2
Kai wanted everything. But Adam ruined everything. Adam always ruins everything for Kai.,What will happen to Adam?,lose friends,be pleased Kai wanted everything,move on to ruining something else,1
Jan lit a fire under her coworkers because they wanted to start a fight.,What will Jan want to do next?,a trouble maker,keep quiet,get everyone angry,3
Sasha protected the patients' rights by making new laws regarding cancer drug trials.,What will patients want to do next?,write new laws,get petitions signed,live longer,2
Sasha made Kai mad by messing with them.,How would you describe Sasha?,joking around,annoying to Kai,being mean to Kai,3
Aubrey agree to help Sasha since she needed to move into her new apartment immediately but didn't have any help.,What will Sasha want to do next?,lecture Aubrey on why she shouldn't help friends move,show appreciation to Aubrey by buying her a bottle of wine,be angry with Aubrey for agreeing to help with the move,2
Taylor proved Carson's point that day by getting the job done in a fast time.,How would Carson feel as a result?,smart now,lazy now,as hard working,1
Taylor taught math in the schools every day as a vocation to make money.,What will Others want to do next?,know how to teach,hate math,stay in class,3
Riley screamed in pain and waited for help to arrive before getting up.,What does Riley need to do before this?,was lying down,was doing homework,tried to do a stunt,3
Remy gave Skylar her account so Skylar could play the game.,Why did Remy do this?,play with Skylar,be a nice person,steal from Skylar,2
Sasha protected the patient's information even though the parents yelled at her.,What will happen to Sasha?,be praised for her work,be sued by the hospital,be admitted to hospital,1
Alex carried Robin into the execution when Robin refused to walk.,What will happen to Robin?,be given a pardon,be executed,live a long life,2
"Alex was the grandmother of Sheila, who had two children but was a drug and neglected the kids.",How would Alex feel afterwards?,bad about betraying Sheila,grateful to Sheila,justified,1
Ash used logical thought throughout the writing of the fantasy book.,What will Ash want to do next?,wait and worry about rejection,So it'll be liked,make it believable,3
Bailey is taking a class with Aubrey and the two are taking a test.,What does Bailey need to do before this?,needed to be rude,look up the answers to see if she got them correct,needed to be aware,3
Kendall kept the ball rolling on the project and was rewarded with a big bonus by the boss.,How would Kendall feel afterwards?,persistent,good,bored,2
Kai decided to stay at the beach house an extra week.,Why did Kai do this?,was having her apartment fumigated,swim every morning before breakfast,loves the beach and didn't want to leave,3
Carson played a role in the war despite not agreeing with the reason.,What will Others want to do next?,have a war with Carson,be as determined as Carson,fight against Carson,2
"Riley sold Sydney's painting to the bidder, but they didn't have enough money.",What will Riley want to do next?,try selling it again,get more money,take the painting from the buyer,1
Skylar was about to go down the tall water slide but her arms needed to be on her chest.,What will Jesse want to do next?,watch Taylor dance,send Skylar down the slide,cross her arms,3
Aubrey never told Riley the answer about the person who died in the lake last year.,Why did Aubrey do this?,go research it,bored,hidden,3
"Robin enjoyed day dreaming on lazy Sunday afternoons. One time, Robin had a fantasy about chasing rainbows.",Why did Robin do this?,good,make sure to be prepared for Monday's math test,brainstorm a plot for a short story,3
Kai and Skylar were good friends. Kai had finally worked up the courage to ask Skylar on a date. They gave Skylar a meaningful gift to test the waters.,What will Kai want to do next?,say thank you for the gift,Find out whether Skylar reciprocates the feelings,Tell Skylar they'd like to just be friends,2
"Their friend asked them to take a look at the engine, so Taylor studied the car carefully.",What does Taylor need to do before this?,open the hood,be a mechanic,buy a car,2
Quinn rode a motorcycle too fast on the highway and ended up with a ticket.,What will Quinn want to do next?,go pay the employees,start driving their truck slower,start driving their motorcycle slower,3
Kai was bored at the airport while waiting for a flight. They played card games.,Why did Kai do this?,learn the game,get cards,have some fun,3
"Remy and their friends were playing hide and seek in Remy's house. When they finished playing, it was very dark outside.",Why did it become dark outside?,go to sleep,hid their friends and sought them for too long,and their friends lost track of the time,3
"Taylor loved to read to their child every night, and having read so many books over the years, Taylor filled Kai's mind with stories.",What will happen to Kai?,have a smart child,develop a love of books,never learn to read,2
Austin blew smoke after smoking on a cigarette for a few seconds.,What will Austin want to do next?,bored,relieved,make smoke rings,3
Alex tied Riley with a rope and set her on fire with a match.,What will Riley want to do next?,Stay quiet,Put the fire out,Sit still,2
Kai handed back the mail after they looked at it.,How would you describe Kai?,As someone who knows what's in the mail,respected as a result,grateful as a result,1
Robin has been sick in the ER and Alex has been right there by her side but he had to leave to go to work.,What will Robin want to do next?,call someone else to come stay at the hospital with her,visit after work,stay by Alex's side when he gets home,1
Taylor gave her friend a present for their birthday that year.,What will happen to Taylor?,be thanked by their friend,open the present,be happy to see their friend,1
"Due to his friend's flight being delayed, Cameron decided to pick Robin up from the airport.",How would Cameron feel afterwards?,good that his friend's flight was delayed,proud that people can rely on him,happy that he doesn't have to wait at the airport,2
"Tracy's friend, Anne admired the jewelry they wore.  Therefore, Tracy gave it to their friend.",What will Tracy want to do next?,be nice to their friend,make their friend like them,buy another one for their friend,1
Billy argued with Kendall about something he was completely wrong on.,What will Kendall want to do next?,rub it in Billy's face,walk away at the low point,learn Kendall's point of view,1
"Sasha had a plane to catch, so Sasha left the house within hours of waking up.",Why did Sasha do this?,travel patiently,fly the plane,miss the plane,2
Sydney set Skylar's phone on edge just a small hairline over falling over the desk.,How would you describe Sydney?,are reckless,careless,are boring,2
Kai decided to stay at the hotel for another week.,What does Kai need to do before this?,Stay on vacation a little bit longer,check reservations,Do no thinking,1
Tracy took Jesse's students on a field trip because Jesse was not feeling well.,What will Tracy want to do next?,take the students back to school,drive the students back home,know directions,1
carson took his son to the eye doctor instead of going to the birthday party for their other child.,What will happen to Others?,make the child with the birthday party upset,be happy,be annoyed,1
