id,question,A,B,C,D,answer
215,The woman's makeup smeared. This happened because,She brushed her hair.,She wiped her eyes.,None of the above choices are correct.,I do not know the answer to this question.,B
216,"The company's profits started to level off. As a result,",It increased its marketing efforts for new products.,It moved its headquarters to a suburban location.,None of the above choices are correct.,I do not know the answer to this question.,A
217,"The student's answer on the exam was incorrect. As a result,",The teacher added bonus points to the student's grade.,The teacher subtracted points off the student's grade.,None of the above choices are correct.,I do not know the answer to this question.,B
218,"The girl wanted to demonstrate proper etiquette. As a result,",She threw away her napkin after eating.,She put her napkin on her lap before eating.,None of the above choices are correct.,I do not know the answer to this question.,B
219,"The detective flashed his badge to the police officer. As a result,",The police officer confiscated the detective's badge.,The police officer let the detective enter the crime scene.,None of the above choices are correct.,I do not know the answer to this question.,B
220,"The girl wanted to make her mother happy. As a result,",The girl ate the cookies her mother baked.,The girl picked a flower for her mother.,None of the above choices are correct.,I do not know the answer to this question.,B
221,"The toddler started crying. As a result,",Her parents took away her toy.,Her parents gave her a toy.,None of the above choices are correct.,I do not know the answer to this question.,B
222,"The stranger cried out to me in a foreign language. As a result,",I stared blankly at him.,I stopped to chat with him.,None of the above choices are correct.,I do not know the answer to this question.,A
223,"The man uncovered incriminating evidence against his enemy. As a result,",The man avoided his enemy.,The man blackmailed his enemy.,None of the above choices are correct.,I do not know the answer to this question.,B
224,"The girl pushed herself off the top of the slide. As a result,",She glided down the slide.,She crawled up the slide.,None of the above choices are correct.,I do not know the answer to this question.,A
225,My jaw dropped open. This happened because,I was unhappy.,I was shocked.,None of the above choices are correct.,I do not know the answer to this question.,B
226,"The child disobeyed her parents. As a result,",Her parents hugged her.,Her parents punished her.,None of the above choices are correct.,I do not know the answer to this question.,B
227,"The car looked filthy. As a result,",The owner took it to the car wash.,He owner took it in for a paint job.,None of the above choices are correct.,I do not know the answer to this question.,A
228,"My friend paid for my ticket. As a result,",I sought a refund.,I paid her back.,None of the above choices are correct.,I do not know the answer to this question.,B
229,The woman was wrongly convicted for the crime. This happened because,The jury was fair.,She was framed.,None of the above choices are correct.,I do not know the answer to this question.,B
230,"The girl applied the scissors to the paper. As a result,",The paper sliced apart.,The paper crinkled.,None of the above choices are correct.,I do not know the answer to this question.,A
231,The woman visited her family. This happened because,She distrusted them.,She missed them.,None of the above choices are correct.,I do not know the answer to this question.,B
232,"I burst into a fit of laughter. As a result,",My teeth began to chatter.,My eyes welled up with tears.,None of the above choices are correct.,I do not know the answer to this question.,B
233,"The school principal implemented a dress code. As a result,",Students protested the decision.,Students were expelled from school.,None of the above choices are correct.,I do not know the answer to this question.,A
234,The balloon expanded. This happened because,I blew into it.,I pricked it.,None of the above choices are correct.,I do not know the answer to this question.,A
235,"I wanted to lighten the mood of the conversation. As a result,",I remained quiet.,I told a joke.,None of the above choices are correct.,I do not know the answer to this question.,B
236,The man broke his toe. This happened because,He got a hole in his sock.,He dropped a hammer on his foot.,None of the above choices are correct.,I do not know the answer to this question.,B
237,"The man had an attack of conscience. As a result,",He manipulated his friend.,He admitted his indiscretion.,None of the above choices are correct.,I do not know the answer to this question.,B
238,"A fistfight broke out in the hall of the school. As a result,",The principal suspended the students involved.,The principal called off classes for the day.,None of the above choices are correct.,I do not know the answer to this question.,A
239,The photo albums collected dust in the attic. This happened because,They remained untouched for years.,The family reminisced over the photos.,None of the above choices are correct.,I do not know the answer to this question.,A
240,I got distracted from my conversation with the woman. This happened because,Everyone in the room was talking.,The woman was telling a funny story.,None of the above choices are correct.,I do not know the answer to this question.,A
241,"I put coins in the washing machine at the laundromat. As a result,",The machine powered on.,I ran out of laundry detergent.,None of the above choices are correct.,I do not know the answer to this question.,A
242,The family postponed the barbeque. This happened because,The forecast called for storms.,It was a holiday weekend.,None of the above choices are correct.,I do not know the answer to this question.,A
243,Air leaked out of the beach ball. This happened because,It was inflated.,There was a hole in it.,None of the above choices are correct.,I do not know the answer to this question.,B
244,"Our group's conversation gradually lulled to silence. As a result,",I felt awkward.,I became enraged.,None of the above choices are correct.,I do not know the answer to this question.,A
245,"I clenched the candy wrapper in my fist. As a result,",The wrapper crinkled.,The wrapper ripped.,None of the above choices are correct.,I do not know the answer to this question.,A
246,"The woman pressed down on the piano key. As a result,",A sound played.,The key got stuck.,None of the above choices are correct.,I do not know the answer to this question.,A
247,"The girl met her favorite actor. As a result,",She went to see his new film.,She asked him for his autograph.,None of the above choices are correct.,I do not know the answer to this question.,B
248,The vehicles travelled slowly. This happened because,It was cloudy.,It was foggy.,None of the above choices are correct.,I do not know the answer to this question.,B
249,The chandelier shattered on the floor. This happened because,The chandelier dropped from the ceiling.,The chandelier's lights flickered on and off.,None of the above choices are correct.,I do not know the answer to this question.,A
250,The cat purred. This happened because,It scratched me.,I petted it.,None of the above choices are correct.,I do not know the answer to this question.,B
251,"The boy pushed his sister. As a result,",His sister tattled on him.,They played hide and seek.,None of the above choices are correct.,I do not know the answer to this question.,A
252,"The man gained weight. As a result,",He got his suit altered.,He got his shoes shined.,None of the above choices are correct.,I do not know the answer to this question.,A
253,"The clouds looked dark. As a result,",I brought my laptop to work.,I brought my umbrella to work.,None of the above choices are correct.,I do not know the answer to this question.,B
254,"The engine of the airplane was faulty. As a result,",The airplane crashed.,The pilot made an error.,None of the above choices are correct.,I do not know the answer to this question.,A
255,Cars moved to the shoulder of the road. This happened because,The traffic light turned green.,A screaming ambulance approached.,None of the above choices are correct.,I do not know the answer to this question.,B
256,The boy lost hold of the bar of soap. This happened because,The bar was slippery.,The bar emitted a fragrance.,None of the above choices are correct.,I do not know the answer to this question.,A
257,"The button on my shirt fell off. As a result,",I sewed the button back on.,I glued the button back on.,None of the above choices are correct.,I do not know the answer to this question.,A
258,The celebrity wore sunglasses. This happened because,She wanted to thank her fans.,She wanted to avoid recognition.,None of the above choices are correct.,I do not know the answer to this question.,B
259,"My grandmother passed away. As a result,",My family held a funeral.,My family held a reunion.,None of the above choices are correct.,I do not know the answer to this question.,A
260,"The police officer pulled over the celebrity. As a result,",The celebrity offered the officer a bribe.,The celebrity sued the police officer.,None of the above choices are correct.,I do not know the answer to this question.,A
261,The man revealed personal information to the therapist. This happened because,He trusted the therapist.,He disagreed with the therapist.,None of the above choices are correct.,I do not know the answer to this question.,A
262,The man fell unconscious. This happened because,The assailant struck the man in the head.,The assailant took the man's wallet.,None of the above choices are correct.,I do not know the answer to this question.,A
263,I approached the man. This happened because,He looked busy.,He looked familiar.,None of the above choices are correct.,I do not know the answer to this question.,B
264,The leader received praise. This happened because,He fought poverty.,He raised taxes.,None of the above choices are correct.,I do not know the answer to this question.,A
265,"The man read the cartoon in the newspaper. As a result,",He sipped coffee.,He chuckled.,None of the above choices are correct.,I do not know the answer to this question.,B
266,My mailbox was overflowing with letters. This happened because,The lid on the mailbox broke.,I went on vacation for two weeks.,None of the above choices are correct.,I do not know the answer to this question.,B
267,"The bananas ripened. As a result,",We squeezed them.,We ate them.,None of the above choices are correct.,I do not know the answer to this question.,B
268,"The chef pressed down on the dough. As a result,",The dough crumbled.,The dough flattened.,None of the above choices are correct.,I do not know the answer to this question.,B
269,The clay hardened. This happened because,The potter rolled the clay into a ball.,The potter put the clay in the oven.,None of the above choices are correct.,I do not know the answer to this question.,B
270,My feet were blistered. This happened because,I went hiking.,I went swimming.,None of the above choices are correct.,I do not know the answer to this question.,A
271,"The woman betrayed her friend. As a result,",Her friend sent her a greeting card.,Her friend cut off contact with her.,None of the above choices are correct.,I do not know the answer to this question.,B
272,The man took notice of the woman. This happened because,He caught a whiff of her perfume.,He had his back turned to her.,None of the above choices are correct.,I do not know the answer to this question.,A
273,"The woman and her boyfriend got into a fight. As a result,",They stopped seeing each other.,They planned a vacation together.,None of the above choices are correct.,I do not know the answer to this question.,A
274,"The bully stuck his foot out in front of his classmate. As a result,",The bully picked up his classmate.,The bully's classmate tripped.,None of the above choices are correct.,I do not know the answer to this question.,B
275,"The man wanted to get revenge on his enemy. As a result,",The man framed his enemy for a crime.,The man declared a truce with his enemy.,None of the above choices are correct.,I do not know the answer to this question.,A
276,"I drank a cup of coffee. As a result,",My yawning ceased.,I nodded off to sleep.,None of the above choices are correct.,I do not know the answer to this question.,A
277,The woman was mistaken for her sister. This happened because,The woman was close with her sister.,The woman looked like her sister.,None of the above choices are correct.,I do not know the answer to this question.,B
278,The man made an error in his calculations. This happened because,He checked his work.,His work was hasty.,None of the above choices are correct.,I do not know the answer to this question.,B
279,The woman's eyeglasses fogged up. This happened because,She reclined by the pool.,She entered the sauna.,None of the above choices are correct.,I do not know the answer to this question.,B
280,"The shopper wondered about the cost of the item. As a result,",He checked its price tag.,He decided to buy it.,None of the above choices are correct.,I do not know the answer to this question.,A
281,The host of the trivia show called on the contestant for an answer. This happened because,The contestant was in the lead.,The contestant rang the buzzer.,None of the above choices are correct.,I do not know the answer to this question.,B
282,The boy was afraid to go to bed. This happened because,He turned on his nightlight.,He watched a horror movie.,None of the above choices are correct.,I do not know the answer to this question.,B
283,"The woman wanted to be a doctor. As a result,",She visited the hospital.,She went to medical school.,None of the above choices are correct.,I do not know the answer to this question.,B
284,"The boy found the television show boring. As a result,",He recorded it.,He shut it off.,None of the above choices are correct.,I do not know the answer to this question.,B
285,"My daughter suffered an allergy attack. As a result,",I encouraged her to take deep breaths.,I took her to the emergency room.,None of the above choices are correct.,I do not know the answer to this question.,B
286,"The boy had trouble buttoning his shirt. As a result,",He refused to wear the shirt.,He asked his mother for help.,None of the above choices are correct.,I do not know the answer to this question.,B
287,I spit out my chewing gum. This happened because,I blew a bubble with the gum.,The gum lost its flavor.,None of the above choices are correct.,I do not know the answer to this question.,B
288,"The boy painted a picture for his mother. As a result,",His mother hung the picture on the wall.,His mother sold the picture to a gallery.,None of the above choices are correct.,I do not know the answer to this question.,A
289,"The competition ended. As a result,",The teams got pumped up.,The teams shook hands.,None of the above choices are correct.,I do not know the answer to this question.,B
290,The girl politely declined the hamburger. This happened because,She was a vegetarian.,She liked fast food.,None of the above choices are correct.,I do not know the answer to this question.,A
291,"I scrubbed the stain on the floor. As a result,",I got rid of the stain.,I got dirt on the floor.,None of the above choices are correct.,I do not know the answer to this question.,A
292,"The documents contained important information. As a result,",I paper clipped them together.,I kept them in a secure place.,None of the above choices are correct.,I do not know the answer to this question.,B
293,The egg splattered. This happened because,I dropped it.,I boiled it.,None of the above choices are correct.,I do not know the answer to this question.,A
294,"The girl pushed her friend. As a result,",Her friend choked.,Her friend fell over.,None of the above choices are correct.,I do not know the answer to this question.,B
295,"A group of teenagers crashed the party. As a result,",The host of the party kicked them out.,The host of the party invited them in.,None of the above choices are correct.,I do not know the answer to this question.,A
296,The man took a shower. This happened because,He was sweaty from working out.,He opened a new bar of soap.,None of the above choices are correct.,I do not know the answer to this question.,A
297,The screen on the laptop went black. This happened because,The laptop's warranty expired.,The laptop's battery died.,None of the above choices are correct.,I do not know the answer to this question.,B
298,"The book became a huge bestseller. As a result,",It was adapted into a movie.,The author faded into obscurity.,None of the above choices are correct.,I do not know the answer to this question.,A
299,The man felt thankful to be alive. This happened because,He was cured of cancer.,His wife was diagnosed with cancer.,None of the above choices are correct.,I do not know the answer to this question.,A
300,The woman wrote a check to the gas company. This happened because,She preferred paying by cash.,She received her monthly bill.,None of the above choices are correct.,I do not know the answer to this question.,B
301,The woman felt reluctant to switch careers. This happened because,She made a lot of money in her current occupation.,She endured a lot of stress in her current occupation.,None of the above choices are correct.,I do not know the answer to this question.,A
302,The woman filed a restraining order against the man. This happened because,The man called her.,The man stalked her.,None of the above choices are correct.,I do not know the answer to this question.,B
303,"The ocean tide was dangerous. As a result,",The swimmers put on more sunscreen.,The swimmers returned towards the shore.,None of the above choices are correct.,I do not know the answer to this question.,B
304,The woman refused a second beer. This happened because,She was the designated driver for the night.,She was familiar with the bartender.,None of the above choices are correct.,I do not know the answer to this question.,A
305,I ran out of breath. This happened because,I climbed several flights of stairs.,I read several chapters of the book.,None of the above choices are correct.,I do not know the answer to this question.,A
306,"The woman was deemed mentally ill. As a result,",She was sent to a psychiatric institution.,She sought a career as a psychiatrist.,None of the above choices are correct.,I do not know the answer to this question.,A
307,"The sun emerged from the clouds. As a result,",The woman glanced at her watch.,The woman took her sweater off.,None of the above choices are correct.,I do not know the answer to this question.,B
308,The football coach lost his voice after the game. This happened because,He yelled whenever a player fumbled the ball.,He whistled whenever a player scored a touchdown.,None of the above choices are correct.,I do not know the answer to this question.,A
309,"The woman complimented the man. As a result,",He sneezed.,He blushed.,None of the above choices are correct.,I do not know the answer to this question.,B
310,"I applied pressure to the cut on my arm. As a result,",It healed.,It stopped bleeding.,None of the above choices are correct.,I do not know the answer to this question.,B
311,"The woman had an infection. As a result,",She took antibiotics.,She washed her hands.,None of the above choices are correct.,I do not know the answer to this question.,A
312,"The woman was summoned for jury duty. As a result,",She contacted her lawyer.,She cancelled her appointments.,None of the above choices are correct.,I do not know the answer to this question.,B
313,The woman fanned herself with her hand. This happened because,She installed the air conditioner in the room.,The air conditioner in the room broke.,None of the above choices are correct.,I do not know the answer to this question.,B
314,The doctors amputated the patient's leg. This happened because,It was badly bruised.,It was severely infected.,None of the above choices are correct.,I do not know the answer to this question.,B
315,The girl stared at herself in the mirror. This happened because,She felt self-conscious.,The mirror was smudged.,None of the above choices are correct.,I do not know the answer to this question.,A
316,The man was bitten by mosquitoes. This happened because,He went camping in the woods.,He fell asleep on his couch.,None of the above choices are correct.,I do not know the answer to this question.,A
317,"The woman presented her brother with a gift. As a result,",Her brother refused to accept the gift.,Her brother unwrapped the gift.,None of the above choices are correct.,I do not know the answer to this question.,B
318,"The administrator cleared her throat. As a result,",The meeting was postponed.,The meeting commenced.,None of the above choices are correct.,I do not know the answer to this question.,B
319,The children ran through the sprinkler. This happened because,They ate popsicles.,They were hot.,None of the above choices are correct.,I do not know the answer to this question.,B
320,"The man needed coins to fill the parking meter. As a result,",He searched under his car seats for loose change.,He begged people on the street for loose change.,None of the above choices are correct.,I do not know the answer to this question.,A
321,"The customer thought the souvenir was overpriced. As a result,",The vender sold it to him.,He bargained with the vendor.,None of the above choices are correct.,I do not know the answer to this question.,B
322,The scientist gained recognition. This happened because,She discovered a new species.,She received tenure at the university.,None of the above choices are correct.,I do not know the answer to this question.,A
323,"The car stopped at the crosswalk. As a result,",The pedestrian crossed the road.,The pedestrian waited on the sidewalk.,None of the above choices are correct.,I do not know the answer to this question.,A
324,The boy giggled uncontrollably. This happened because,His brother tickled him.,His brother kicked him.,None of the above choices are correct.,I do not know the answer to this question.,A
325,"My knees buckled on the stairs. As a result,",I caught myself on the railing.,The railing came loose from the wall.,None of the above choices are correct.,I do not know the answer to this question.,A
326,I went to bed. This happened because,It was a clear night.,It was late.,None of the above choices are correct.,I do not know the answer to this question.,B
327,"My friend was recovering from surgery. As a result,",I dropped her off at the hospital.,I brought her a card and flowers.,None of the above choices are correct.,I do not know the answer to this question.,B
328,"The DJ turned the music on. As a result,",People left the party.,People began to dance.,None of the above choices are correct.,I do not know the answer to this question.,B
329,The security guard replayed the surveillance footage. This happened because,The surveillance camera was out of focus.,He noticed some suspicious activity.,None of the above choices are correct.,I do not know the answer to this question.,B
330,I lingered in bed upon awakening. This happened because,I was hungry.,It was Saturday.,None of the above choices are correct.,I do not know the answer to this question.,B
331,"The man lifted the heavy box. As a result,",He put out his back.,He scratched his back.,None of the above choices are correct.,I do not know the answer to this question.,A
332,The woman's purse was missing. This happened because,It contained a lot of junk.,She left it unsupervised.,None of the above choices are correct.,I do not know the answer to this question.,B
333,The woman suffered amnesia. This happened because,She had an allergic reaction.,She got into a car accident.,None of the above choices are correct.,I do not know the answer to this question.,B
334,"I needed to get cash. As a result,",I went to the bank.,I bought a wallet.,None of the above choices are correct.,I do not know the answer to this question.,A
335,The rider fell to the ground. This happened because,The bull bucked the rider.,The bull chased the rider.,None of the above choices are correct.,I do not know the answer to this question.,A
336,"The boy wanted to be muscular. As a result,",He lifted weights.,He played computer games.,None of the above choices are correct.,I do not know the answer to this question.,A
337,"The scientist conducted an experiment. As a result,",She validated her theory.,She fabricated her data.,None of the above choices are correct.,I do not know the answer to this question.,A
338,The milk stayed cold. This happened because,It was pasteurized.,I stored it in the refrigerator.,None of the above choices are correct.,I do not know the answer to this question.,B
339,The fussy baby calmed down. This happened because,The parents shook a rattle in front of the baby.,The parents picked out a name for the baby.,None of the above choices are correct.,I do not know the answer to this question.,A
340,"I put ice cubes in the hot soup. As a result,",The soup cooled down.,The soup became thick.,None of the above choices are correct.,I do not know the answer to this question.,A
341,The girl shared her lunch with her friend. This happened because,Her friend forgot to bring his lunch.,Her friend sat next to her at lunch.,None of the above choices are correct.,I do not know the answer to this question.,A
342,The police closed the investigation. This happened because,They apprehended the suspect.,The victim recovered.,None of the above choices are correct.,I do not know the answer to this question.,A
343,"The rain subsided. As a result,",I went for a walk.,I browsed the internet.,None of the above choices are correct.,I do not know the answer to this question.,A
344,"The cup of tea was scalding hot. As a result,",I blew on it.,I poured it out.,None of the above choices are correct.,I do not know the answer to this question.,A
345,The photograph faded. This happened because,It was fake.,It was old.,None of the above choices are correct.,I do not know the answer to this question.,B
346,The boy got a black eye. This happened because,The bully mocked the boy.,The bully punched the boy.,None of the above choices are correct.,I do not know the answer to this question.,B
347,"I misplaced my wallet. As a result,",I retrieved my phone.,I retraced my steps.,None of the above choices are correct.,I do not know the answer to this question.,B
348,"The hunter ran out of ammunition. As a result,",He reloaded the gun.,He aimed at the deer.,None of the above choices are correct.,I do not know the answer to this question.,A
349,Marine life diminished. This happened because,Boats sailed through the ocean.,Oil spilled into the ocean.,None of the above choices are correct.,I do not know the answer to this question.,B
350,"I ran the ice cube under warm water. As a result,",The ice cube stuck to my fingers.,The ice cube vanished.,None of the above choices are correct.,I do not know the answer to this question.,B
351,The customer came into the boutique. This happened because,She left her wallet at home.,The window display caught her eye.,None of the above choices are correct.,I do not know the answer to this question.,B
352,The man drank water with his meal. This happened because,His meal was cold.,His meal was spicy.,None of the above choices are correct.,I do not know the answer to this question.,B
353,The woman stayed away from public places. This happened because,She was contagious.,She was intoxicated.,None of the above choices are correct.,I do not know the answer to this question.,A
354,"The putrid odor filled the room. As a result,",I clamped my hand over my nose.,I put the rubber gloves on.,None of the above choices are correct.,I do not know the answer to this question.,A
355,The employee missed work. This happened because,Her family got in touch with her.,There was a death in her family.,None of the above choices are correct.,I do not know the answer to this question.,B
356,"The magnet attracted the paperclip. As a result,",The paperclip dropped from the magnet.,The paperclip stuck to the magnet.,None of the above choices are correct.,I do not know the answer to this question.,B
357,"The gardener pulled the weeds. As a result,",The weeds came out of the soil.,The weeds produced seeds.,None of the above choices are correct.,I do not know the answer to this question.,A
358,"We ordered a pizza. As a result,",The pizza was delivered.,The pizza got cold.,None of the above choices are correct.,I do not know the answer to this question.,A
359,The teenager grew taller than his father. This happened because,He went through a growth spurt.,He joined the basketball team.,None of the above choices are correct.,I do not know the answer to this question.,A
360,The patient underwent the risky medical procedure. This happened because,The procedure was costly.,Specialists recommended the procedure.,None of the above choices are correct.,I do not know the answer to this question.,B
361,"The man caught his shirtsleeve on the rungs of the fence. As a result,",He hopped the fence.,The sleeve ripped.,None of the above choices are correct.,I do not know the answer to this question.,B
362,The investigators deemed the man's death a suicide. This happened because,He left a note.,He had children.,None of the above choices are correct.,I do not know the answer to this question.,A
363,The computer crashed. This happened because,I backed up my files.,I downloaded a virus.,None of the above choices are correct.,I do not know the answer to this question.,B
364,The girl's mouth ached. This happened because,She lost a tooth.,She swallowed her gum.,None of the above choices are correct.,I do not know the answer to this question.,A
365,"The room was dim. As a result,",I opened the blinds.,I washed the windows.,None of the above choices are correct.,I do not know the answer to this question.,A
366,The father put his daughter in her stroller. This happened because,She learned to walk.,He was tired of carrying her.,None of the above choices are correct.,I do not know the answer to this question.,B
367,The spy discovered the enemy's location. This happened because,The spy bugged the enemy's phone.,The spy was hired by the government.,None of the above choices are correct.,I do not know the answer to this question.,A
368,The glasses on the table spilled. This happened because,The child drew on the table.,The child yanked the tablecloth.,None of the above choices are correct.,I do not know the answer to this question.,B
369,"The water in the teapot started to boil. As a result,",The teapot cooled.,The teapot whistled.,None of the above choices are correct.,I do not know the answer to this question.,B
370,The city re-elected the mayor. This happened because,The city cut its budget.,The mayor fulfilled his promises.,None of the above choices are correct.,I do not know the answer to this question.,B
371,The woman exaggerated the details of the story. This happened because,She wanted attention.,She felt shy.,None of the above choices are correct.,I do not know the answer to this question.,A
372,"The woman hit a midlife crisis. As a result,",She retired.,She went sky diving.,None of the above choices are correct.,I do not know the answer to this question.,B
373,"The man went into denial about the tragedy. As a result,",He got over it easily.,He refused to talk about it.,None of the above choices are correct.,I do not know the answer to this question.,B
374,The man grieved. This happened because,His wife criticized him.,His mother passed away.,None of the above choices are correct.,I do not know the answer to this question.,B
375,The girl had a phobia of dogs. This happened because,She rescued an abandoned dog.,She was bitten by a dog.,None of the above choices are correct.,I do not know the answer to this question.,B
376,"I made a resolution to eat a healthy diet. As a result,",I attended a yoga class.,I bought fruits and vegetables.,None of the above choices are correct.,I do not know the answer to this question.,B
377,The patient went into a coma. This happened because,He suffered emotional trauma.,He suffered brain damage.,None of the above choices are correct.,I do not know the answer to this question.,B
378,"The friends' dinnertime conversation turned to politics. As a result,",The conversation quieted down.,A debate erupted.,None of the above choices are correct.,I do not know the answer to this question.,B
379,The woman spotted her friend from across the room. This happened because,The woman waved.,The woman escaped.,None of the above choices are correct.,I do not know the answer to this question.,A
380,"The mother needed help looking after her children. As a result,",She sent the children to daycare.,She gave up custody of the children.,None of the above choices are correct.,I do not know the answer to this question.,A
381,The driver honked her horn. This happened because,Another car swerved into her lane.,She made a right turn at the light.,None of the above choices are correct.,I do not know the answer to this question.,A
382,"The man wanted to save money. As a result,",He withdrew money from his savings account.,He cut back on making frivolous purchases.,None of the above choices are correct.,I do not know the answer to this question.,B
383,I put shoes on. This happened because,The floor contained broken glass.,The paint on the walls was wet.,None of the above choices are correct.,I do not know the answer to this question.,A
384,The librarian located the book in the stacks. This happened because,I requested the librarian's help.,The book was checked out.,None of the above choices are correct.,I do not know the answer to this question.,A
385,The mother became eye level with her son. This happened because,She squatted down.,She held his hand.,None of the above choices are correct.,I do not know the answer to this question.,A
386,I packed up my belongings. This happened because,I was hunting for a new apartment.,I was moving out of my apartment.,None of the above choices are correct.,I do not know the answer to this question.,B
387,The boy mimicked his older brother. This happened because,The boy looked up to his older brother.,The boy wrestled with his older brother.,None of the above choices are correct.,I do not know the answer to this question.,A
388,"The girl desired her parent's approval. As a result,",She ran away from home.,She obeyed her parent's rules.,None of the above choices are correct.,I do not know the answer to this question.,B
389,"The truck crashed into the motorcycle on the bridge. As a result,",The motorcyclist died.,The bridge collapsed.,None of the above choices are correct.,I do not know the answer to this question.,A
390,The retail shop shut down. This happened because,Its sales were lagging.,It renewed its lease.,None of the above choices are correct.,I do not know the answer to this question.,A
391,"The swimmer won the race. As a result,",She received a gold medal.,Her team lost the meet.,None of the above choices are correct.,I do not know the answer to this question.,A
392,Air pollution in the city worsened. This happened because,Factories increased their production.,Factories shut down.,None of the above choices are correct.,I do not know the answer to this question.,A
393,The mother scolded her daughter. This happened because,Her daughter burped at the kitchen table.,Her daughter set the kitchen table.,None of the above choices are correct.,I do not know the answer to this question.,A
394,I excused myself from the group. This happened because,I turned off my phone.,My phone rang.,None of the above choices are correct.,I do not know the answer to this question.,B
395,The skier slipped on the slope. This happened because,She dropped her ski poles.,She hit a patch of ice.,None of the above choices are correct.,I do not know the answer to this question.,B
396,"The print on the brochure was tiny. As a result,",The man put his glasses on.,The man retrieved a pen from his pocket.,None of the above choices are correct.,I do not know the answer to this question.,A
397,"I flipped the light switch up and down. As a result,",The light faded.,The light flickered.,None of the above choices are correct.,I do not know the answer to this question.,B
398,"The man's watch was broken. As a result,",He waited at the bus stop.,He asked a stranger for the time.,None of the above choices are correct.,I do not know the answer to this question.,B
399,The soldiers were concealed in the brush. This happened because,They were armed with rifles.,They wore camouflage uniforms.,None of the above choices are correct.,I do not know the answer to this question.,B
400,"The man turned on the faucet. As a result,",The toilet filled with water.,Water flowed from the spout.,None of the above choices are correct.,I do not know the answer to this question.,B
401,"The girl found a bug in her cereal. As a result,",She poured milk in the bowl.,She lost her appetite.,None of the above choices are correct.,I do not know the answer to this question.,B
402,"The woman retired. As a result,",She received her pension.,She paid off her mortgage.,None of the above choices are correct.,I do not know the answer to this question.,A
403,"I wanted to conserve energy. As a result,",I swept the floor in the unoccupied room.,I shut off the light in the unoccupied room.,None of the above choices are correct.,I do not know the answer to this question.,B
404,The hamburger meat browned. This happened because,The cook froze it.,The cook grilled it.,None of the above choices are correct.,I do not know the answer to this question.,B
405,"I doubted the salesman's pitch. As a result,",I turned his offer down.,He persuaded me to buy the product.,None of the above choices are correct.,I do not know the answer to this question.,A
406,I decided to stay home for the night. This happened because,The forecast called for storms.,My friends urged me to go out.,None of the above choices are correct.,I do not know the answer to this question.,A
407,My eyes became red and puffy. This happened because,I was sobbing.,I was laughing.,None of the above choices are correct.,I do not know the answer to this question.,A
408,The flame on the candle went out. This happened because,I blew on the wick.,I put a match to the wick.,None of the above choices are correct.,I do not know the answer to this question.,A
409,"The man drank heavily at the party. As a result,",He had a headache the next day.,He had a runny nose the next day.,None of the above choices are correct.,I do not know the answer to this question.,A
410,The bowling ball knocked over the bowling pins. This happened because,The man rolled the bowling ball down the alley.,The man dropped the bowling ball on his foot.,None of the above choices are correct.,I do not know the answer to this question.,A
411,The community learned of the man's death. This happened because,His family buried him in the cemetery.,His obituary appeared in the newspaper.,None of the above choices are correct.,I do not know the answer to this question.,B
412,"My computer crashed. As a result,",I installed new speakers.,I lost all my data.,None of the above choices are correct.,I do not know the answer to this question.,B
413,The woman resigned from her job. This happened because,She aspired to hold an executive position in the firm.,She believed her superiors were acting unethically.,None of the above choices are correct.,I do not know the answer to this question.,B
414,The player caught the ball. This happened because,Her teammate threw it to her.,Her opponent tried to intercept it.,None of the above choices are correct.,I do not know the answer to this question.,A
415,The judge pounded the gavel. This happened because,The courtroom broke into uproar.,The jury announced its verdict.,None of the above choices are correct.,I do not know the answer to this question.,A
416,The woman banished the children from her property. This happened because,The children hit a ball into her yard.,The children trampled through her garden.,None of the above choices are correct.,I do not know the answer to this question.,B
417,The kidnappers released the hostage. This happened because,They accepted ransom money.,They escaped from jail.,None of the above choices are correct.,I do not know the answer to this question.,A
418,The cook's eyes watered. This happened because,He ran out of onions.,He cut an onion.,None of the above choices are correct.,I do not know the answer to this question.,B
419,The woman ran her finger under cold water. This happened because,She burned her finger on the toaster.,She put a diamond ring on her finger.,None of the above choices are correct.,I do not know the answer to this question.,A
420,"The student misspelled the word. As a result,",The teacher corrected her.,The teacher dismissed her.,None of the above choices are correct.,I do not know the answer to this question.,A
421,I regained composure from my fit of anger. This happened because,My heart pounded.,I took deep breaths.,None of the above choices are correct.,I do not know the answer to this question.,B
422,"I put my hands under the running faucet. As a result,",The soap rinsed off my hands.,The water splashed in my face.,None of the above choices are correct.,I do not know the answer to this question.,A
423,The man dressed in his best suit. This happened because,He scheduled a meeting with an important client.,His wife bought him a new tie.,None of the above choices are correct.,I do not know the answer to this question.,A
424,"The man confessed his love for the woman. As a result,",The woman rejected him.,The woman envied him.,None of the above choices are correct.,I do not know the answer to this question.,A
425,The driver got a flat tire. This happened because,He went over the speed limit.,He ran over a nail.,None of the above choices are correct.,I do not know the answer to this question.,B
426,My view of the movie screen was blocked. This happened because,The couple behind me was whispering.,A tall person was sitting in front of me.,None of the above choices are correct.,I do not know the answer to this question.,B
427,The driver turned on the car's headlights. This happened because,He heard thunder.,The sun went down.,None of the above choices are correct.,I do not know the answer to this question.,B
428,"The girl refused to eat her vegetables. As a result,",Her father told her to drink her milk.,Her father took away her dessert.,None of the above choices are correct.,I do not know the answer to this question.,B
