prompt,target
"Question: Where are you likely to set papers while working on them?
Choices: A) table B) meeting C) drawer D) toilet E) garage
Answer:",A
"Question: John had a massive debt to 50 million dollars.  Compared to that, Leo's 2000 dollar debt seemed what?
Choices: A) dwarf B) inconsequential C) insubstantial D) lame E) tiny
Answer:",C
"Question: The man flew his airplane over the city and saw pollution visibly in the sky, what was polluted?
Choices: A) forest B) street C) air D) caused by humans E) car show
Answer:",C
"Question: What is a very unlikely side effect of becoming inebriated?
Choices: A) fights B) drunkenness C) staggering D) puke E) paralysis
Answer:",E
"Question: when communicating with my boss what should i do
Choices: A) misunderstandings B) transfer of information C) learning D) confusion E) silence
Answer:",B
"Question: If not in a stream but in a market where will you find fish?
Choices: A) stream B) aquarium C) refrigerator D) boat ride E) market
Answer:",C
"Question: What are people likely to want to do with their friends?
Choices: A) own land B) own home C) talk to each other D) believe in god E) spend time
Answer:",E
"Question: During a shark filled tornado where should you not be?
Choices: A) marine museum B) pool hall C) noodle house D) bad movie E) outside
Answer:",E
"Question: What is the likely result of buying products in excess?
Choices: A) running out of money B) spending money C) poverty D) comparison shopping E) overstocking
Answer:",E
"Question: What is a person trying to accomplish when taking analgesics?
Choices: A) acceptance B) avoid pain C) acknowledgment D) passing grade E) intellectual challenge
Answer:",B
"Question: Where would you put a glass after drinking from it?
Choices: A) ocean B) water cooler C) cabinet D) dishwasher E) dining room
Answer:",D
"Question: Where would you buy food?
Choices: A) freezer B) store C) home D) hatred E) kitchen
Answer:",B
"Question: When a person admits his mistakes, what are they doing?
Choices: A) accident B) learn to swim C) thank god D) feel relieved E) act responsibly
Answer:",E
"Question: Where do play a game for money?
Choices: A) casino B) football ground C) ballpark D) family room E) toy store
Answer:",A
"Question: When you travel you should what in case of unexpected costs?
Choices: A) go somewhere B) energy C) spend frivilously D) fly in airplane E) have money
Answer:",E
"Question: Donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?
Choices: A) everything B) capitol building C) tourist sites D) canada E) washington d.c
Answer:",E
"Question: There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?
Choices: A) train station B) beach C) bus depot D) bridge E) stumblebum
Answer:",C
"Question: John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.
Choices: A) anger B) good natured ribbing. C) enjoying D) injury E) enjoyment
Answer:",D
"Question: Where can you buy jeans at one of may indoor merchants?
Choices: A) gap B) shopping mall C) bedroom D) laundromat E) bathroom
Answer:",B
"Question: What do you write letter in in America?
Choices: A) syllable B) post office C) envelope D) english alphabet E) word
Answer:",D
"Question: Joe owned back taxes as well as what other type of taxes?
Choices: A) anterior B) front C) main D) front E) current
Answer:",E
"Question: Where is a broadcast studio likely to be heard?
Choices: A) microphone B) arena C) radio station D) trees E) town
Answer:",C
"Question: Kramer wrote a self-referential book.  What might that book be about?
Choices: A) counter B) coffee table C) school room D) backpack E) bedside table
Answer:",B
"Question: Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?
Choices: A) very entertaining B) fun C) slow D) competitive E) violent
Answer:",E
"Question: What city will likely have many parking structures?
Choices: A) chicago B) big city C) large city building D) environment E) college campus
Answer:",A
"Question: Sally was afraid of danger and always double checked what?
Choices: A) fight enemy B) secure C) being safe D) safety E) vicinity
Answer:",D
"Question: What is the habitat of the fox?
Choices: A) hen house B) burrow C) california D) england E) mountains
Answer:",E
"Question: People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?
Choices: A) eat eggs B) make tools C) eat dosa D) talk to each other E) smoke pot
Answer:",B
"Question: They children loved having a back yard, and the parents loved that it was a safe what?
Choices: A) suburb B) neighborhood C) back of house D) roundabout E) property
Answer:",B
"Question: While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?
Choices: A) garage B) utility room C) slide D) wishing well E) garden
Answer:",D
"Question: Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?
Choices: A) surface of earth B) teardrops C) snowflake D) typhoon E) motor
Answer:",D
"Question: When a human is earning money, where are they often found?
Choices: A) deep thought B) park C) friend's house D) place of work E) school
Answer:",D
"Question: They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?
Choices: A) maryland B) indiana C) on tv D) park E) new jersey
Answer:",B
"Question: Why do people play chess on the weekends?
Choices: A) satisfaction B) have fun C) thrilling D) made E) smart
Answer:",B
"Question: What do you need energy to do in gym class?
Choices: A) work B) tacos C) mass D) play sports E) wrestle
Answer:",D
"Question: Sarah dropped the marble because she wanted to do what?
Choices: A) game B) pouch C) home D) store E) jar
Answer:",A
"Question: We are all human, and we all what?
Choices: A) write B) eat cake C) smile D) think critically E) die
Answer:",E
"Question: If a person were going to bed, what would be their goal?
Choices: A) lazy B) insomnia C) rest D) falling asleep E) dreaming of
Answer:",D
"Question: What are candles good for eliminating?
Choices: A) shelf B) board C) church D) table E) dark
Answer:",E
"Question: WHat leads to an early death?
Choices: A) poisonous gas B) homicide C) cinder D) nuclear weapons E) cyanide
Answer:",B
"Question: What room would you find many bookcases and is used for contemplation?
Choices: A) study B) house C) homw D) kitchen E) den
Answer:",A
"Question: Where do you head to travel to a star?
Choices: A) night sky B) galaxy C) outer space D) hollywood E) eat cake
Answer:",C
"Question: The player lifted his cornet and walked in rhythm, what was the player a member of?
Choices: A) museum B) high school band C) marching band D) orchestra E) band
Answer:",C
"Question: What happens at soon as a living being is born?
Choices: A) expiration B) growing older C) sometimes bad D) death E) start reproduction
Answer:",B
"Question: When someone is talking and you missed something, what can you do to get them to repeat it?
Choices: A) walking B) ask question C) think D) write question in crayon E) sneeze
Answer:",B
"Question: Where does one store fabric in their own home?
Choices: A) sewing room B) clothing store C) tailor shop D) clothes store E) cotton mill
Answer:",A
"Question: What do most companies not want to have relative to demand?
Choices: A) oversupply B) plentitude C) stockpile D) superabundance E) busy
Answer:",A
"Question: What is happening while he's playing basketball for such a long time?
Choices: A) sweating B) pain C) having fun D) medium E) knee injury
Answer:",A
"Question: A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?
Choices: A) bus stop B) library C) motel D) airport E) subway
Answer:",A
"Question: The person was in physical distress, where should he go?
Choices: A) synagogue B) for help C) hospital D) bus stop E) building
Answer:",C
"Question: The cancer patient was expecting to die, so he made out his what?
Choices: A) not to live B) write will C) never want D) seek help E) go to hell
Answer:",B
"Question: There was a toll road that meandered from Maine to New Hampshire, where was it?
Choices: A) massachusetts B) new england C) my house D) new jersey E) connecticut
Answer:",B
"Question: If you partied all night you could find yourself already what, even when just beginning work?
Choices: A) getting tired B) working C) procrastination D) jumping E) sitting down
Answer:",A
"Question: The cat carefully navigated the area, they do everything they can to avoid what?
Choices: A) get wet B) eat vegetables C) falling D) wool sweater E) sharp claws
Answer:",A
"Question: What is someone usually doing if someone else is talking to him or her?
Choices: A) listening B) language C) looking at eyes D) planning the perfect murder E) voice
Answer:",A
"Question: What does the sky do before a rain?
Choices: A) appear beautiful B) appear blue C) shows a rainbow D) rain water E) cloud over
Answer:",E
"Question: Pens, computers, text books and paper clips can all be found where?
Choices: A) desktop B) university C) drawer D) table E) work
Answer:",B
"Question: What geographic area is a lizard likely to be?
Choices: A) ball stopped B) west texas C) arid regions D) garden E) warm place
Answer:",B
"Question: What do you use to carry your briefcase?
Choices: A) office building B) school C) courtroom D) airport E) hand
Answer:",E
"Question: He picked up his pace to a run, he wanted to do what?
Choices: A) learn to walk B) frightened C) get away from D) exercise E) go faster
Answer:",E
"Question: What would a person do if they do not have any friends?
Choices: A) talk to people B) try again C) fall asleep D) stand alone E) thank god
Answer:",D
"Question: As a result of dying, what happens to organic material?
Choices: A) change of color B) stop breathing C) wake up D) death and decay E) getting cold
Answer:",D
"Question: What does everyone have in relation to other people?
Choices: A) feelings B) food C) unique personality D) different standards E) values
Answer:",A
"Question: What do you ask a child to do when you first meet her?
Choices: A) ask questions B) count to ten C) costume D) state name E) dress herself
Answer:",D
"Question: Where can you buy a clock, clothing and wrenches?
Choices: A) counter B) train station C) school room D) desk E) department store
Answer:",E
"Question: What do you do when you're in a new place and want to see new things?
Choices: A) interesting B) look around C) take pictures D) change of surroundings E) new experience
Answer:",B
"Question: What happens when to ice when it is in the sun?
Choices: A) carved B) melted C) ice cream D) antarctica E) sculptured
Answer:",B
"Question: Where can you store your dishes in your dwelling?
Choices: A) drawer B) shelf C) pantry D) apartment E) cabinet
Answer:",B
"Question: The man laid on the soft moss and looked up at the trees, where was the man?
Choices: A) niagra falls B) forest C) waterfall D) ground E) tree
Answer:",B
"Question: What is someone doing if he or she is sitting quietly and his or her eyes are moving?
Choices: A) reading B) meditate C) fall asleep D) bunk E) think
Answer:",A
"Question: Where can I find a stapler in many places?
Choices: A) desk drawer B) office building C) manual D) office supply store E) desktop
Answer:",B
"Question: A man takes a seat at a museum outside of Barcelona, where is he likely?
Choices: A) in cinema B) martorell C) falling down D) show E) airplane
Answer:",B
"Question: Where would you find a toy soldier that is being played with?
Choices: A) toy box B) movies C) child's hand D) toybos E) child park
Answer:",C
"Question: Where are you when you're about to use your plane ticket?
Choices: A) pocket B) terrorists hands C) airport D) sea ship E) briefcase
Answer:",C
"Question: Flowers make a good center focal point, just one of many arrangements that look good on a what?
Choices: A) market B) table C) countryside D) anthology E) vase
Answer:",B
"Question: How can a human cross a river and not mess up their hair?
Choices: A) wisconsin B) waterfall C) hatred D) bridge E) valley
Answer:",D
"Question: Batman bought beer.  There were no bottles available.  He had to settle for what?.
Choices: A) shelf B) soccer game C) keg D) can E) refrigerator
Answer:",D
"Question: You can find a monkey in what West African region on the Gulf of Guinea
Choices: A) south american country B) rain forest C) pay debts D) works E) nigeria
Answer:",E
"Question: Surprising an angry person could lead to what?
Choices: A) humor B) fight C) jocose D) laughter E) accidents
Answer:",B
"Question: Where is a dining area likely to be small?
Choices: A) cruise ship B) home C) mall D) restaurant E) dark cave
Answer:",B
"Question: Killing people should not cause what emotion?
Choices: A) vengeance B) going to prison C) joy D) afraid E) terrible
Answer:",C
"Question: James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?
Choices: A) exhilaration B) interactions C) head injuries D) death E) having fun
Answer:",C
"Question: More people should lower the guard and just have fun, we don't got long just what?
Choices: A) enjoy living B) happy C) enjoyable D) get laid E) do enjoy
Answer:",A
"Question: Where can you get a lizard to keep in your home?
Choices: A) desert country B) dessert C) pet shop D) tropical areas E) zoo
Answer:",C
"Question: What would use a musical instrument?
Choices: A) guitar B) music room C) orchestra D) case E) movie
Answer:",C
"Question: She was in an affair, what did that end upon discovery by her husband?
Choices: A) relationship B) marriage C) fidelity D) love E) divorce
Answer:",B
"Question: What is the most famous constellation out of earth?
Choices: A) one moon B) milky way C) god's creation D) stars E) universe
Answer:",B
"Question: If a reception is held with hotel guests walking by, what is the likely venue?
Choices: A) room service B) church basement C) lobby D) large room E) country club
Answer:",C
"Question: What is a place that is far away from your house and where you could consume beer?
Choices: A) refrigerator B) friend's house C) keg D) neighbor's house E) kitchen
Answer:",B
"Question: If a court case is dismissed after hearing testimony, what would be a likely cause?
Choices: A) change of heart B) anguish C) anger D) boredom E) anxiety
Answer:",A
"Question: Sitting down quickly after eating beans could lead to what?
Choices: A) flatulence B) happiness C) laziness D) fall asleep E) comfort
Answer:",A
"Question: John was my neighbor, it was easy to talk to him. He was never what?
Choices: A) away B) distant C) remote person D) bore E) foe
Answer:",B
"Question: Where do people want to have a lot of coffee?
Choices: A) table B) office C) desk D) kitchen E) ocean
Answer:",B
"Question: You stop and have food all around you, what are you?
Choices: A) stay alive B) wanted to survive C) nutrition D) grew E) full
Answer:",E
"Question: James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?
Choices: A) relaxation B) panic C) alarm D) joy E) cheer
Answer:",A
"Question: The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?
Choices: A) sturdy B) faithful C) bound D) compact E) packaged
Answer:",D
"Question: Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?
Choices: A) arizona B) farm yard C) michigan D) german field E) dairy farm
Answer:",C
"Question: It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?
Choices: A) hatred B) sleeping in C) rest D) making love E) insomnia
Answer:",B
"Question: His phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?
Choices: A) eastern united states B) michigan C) map D) choppers E) american city
Answer:",C
"Question: What would someone use a personal key for?
Choices: A) car stand B) at hotel C) own home D) front door E) bus depot
Answer:",C
"Question: The cat kept pestering it's owner, it was that time of the day and it was what?
Choices: A) litter tray B) whiskers C) hungry D) feline E) thirsty
Answer:",C
"Question: Her voice lent her to the alto section, what group did she join?
Choices: A) symphony B) concerto C) choir D) theater troupe E) marching band
Answer:",C
"Question: Where are you likely to find a Japanese restaurant not run by people from Japan?
Choices: A) california B) downtown C) large town D) tokio E) china town
Answer:",A
"Question: Animals who have hair and don't lay eggs are what?
Choices: A) reproduce asexually B) males C) mammals D) attack E) ocean
Answer:",C
"Question: John was an aristocratic fox hunter.  Where might he live?
Choices: A) england B) new hampshire C) street D) arkansas E) north dakota
Answer:",B
"Question: Where is a grape likely to be being fed to someone else?
Choices: A) field B) bathroom C) michigan D) minnesota E) painting
Answer:",E
"Question: Some food can be stored at room temperature until you open it, then you should keep it in what?
Choices: A) shop B) bookcase C) shelf D) refrigerators E) kitchen
Answer:",D
"Question: Sam couldn't get back to sleep because of a dream he had.  It was a what?
Choices: A) awake B) horror C) dreamworker D) reality E) nightmare
Answer:",E
"Question: If you're going to a party in a new town what are you hoping to make?
Choices: A) getting drunk B) making new friends C) new contacts D) doing drugs E) set home
Answer:",B
"Question: How is riding a bike getting it to move?
Choices: A) practice B) sense of balance C) driving D) good balance E) pedalling
Answer:",E
"Question: Where does one usually keep literature?
Choices: A) books and magazines B) own home C) kitchen D) shelf E) meeting
Answer:",D
"Question: WHat type of keyboard is made up of one or more pipe divisions?
Choices: A) killing B) typewriter C) office D) terminal E) organ
Answer:",E
"Question: The bell rang, and the congregation began to what in to the church?
Choices: A) run away B) wind instrument C) funnel D) blunderbuss E) associated with telephones
Answer:",C
"Question: James needed smooth sandpaper, but instead he got what type?
Choices: A) rough B) non smooth C) uneven D) plastic E) bumpy
Answer:",A
"Question: Where would you borrow furniture if you do not have any?
Choices: A) sewer B) neighbor's house C) apartment D) room E) floor
Answer:",B
"Question: What must happen for an animal to and it's offspring to continue livng?
Choices: A) death B) flying C) reproducing D) food consumed E) eventually die
Answer:",C
"Question: I want my wine stored in darkness, where should it go?
Choices: A) movies B) bed C) moon D) vault E) cellar
Answer:",E
"Question: If I want to open a steakhouse, what should I get first?
Choices: A) michigan B) florida C) wine D) texas E) building
Answer:",E
"Question: Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?
Choices: A) serious B) longplay C) musical D) eat cake E) doing nothing
Answer:",C
"Question: Joe found spiders while checking something outside.  What might that be?
Choices: A) cupboard B) closet C) storage bag D) mail box E) garage
Answer:",D
"Question: What would you do if your date does not show up?
Choices: A) wait for B) bathe C) go for haircut D) plan revenge E) dress nice
Answer:",A
"Question: What did the adult do before the job interview?
Choices: A) work B) dress himself C) marry D) dress herself E) drive train
Answer:",B
"Question: Most items in retail stores are what even when they are on sale?
Choices: A) overpriced B) purchase C) expensive D) park E) buying
Answer:",A
"Question: John farms anemone in what type of facility?
Choices: A) michigan B) swimming pool C) atlantic ocean D) nursery E) gulf of mexico
Answer:",D
"Question: Brawn opened the curtains so that the sun could do what?
Choices: A) dry clothes B) warm house C) warm room D) shine brightly E) get dark
Answer:",C
"Question: How might releasing energy that has built up feel?
Choices: A) damage B) wonderful C) exhaustion D) orgasm E) lazy
Answer:",B
"Question: What would you do if you have curiosity but are blind and paralyzed?
Choices: A) hear news B) analyse C) go somewhere D) examine thing E) see favorite show
Answer:",B
"Question: Where might it be hard to get furniture to?
Choices: A) apartment B) loft C) store D) rug E) stairs
Answer:",B
"Question: A great teacher can be what when you are attending school?
Choices: A) detention B) graduate C) follower D) inspiration E) boredom
Answer:",D
"Question: Where would you get jeans and other wearable items to take home with you?
Choices: A) shopping mall B) museum C) laundromat D) clothing store E) bedroom
Answer:",D
"Question: In what substance do clouds float?
Choices: A) sky B) top of mountain C) air D) ground level E) outer space
Answer:",C
"Question: Where is the large area location of the empire state building?
Choices: A) manhattan B) office C) the city D) fifth avenue E) new york city
Answer:",E
"Question: Where do most people make coffee?
Choices: A) coffee shop B) office C) table D) washing E) kitchen
Answer:",E
"Question: What kind of service is my body a part of when I'm no longer here?
Choices: A) bodycam B) home C) coffin D) funeral E) graveyard
Answer:",D
"Question: Many people wanted to leave their country estates for row houses, what did they need to move to?
Choices: A) living less expensively B) england C) prison D) city E) town
Answer:",D
"Question: Where can someone get a new saw?
Choices: A) hardware store B) toolbox C) logging camp D) tool kit E) auger
Answer:",A
"Question: What would you do to a crime scene before asking a question?
Choices: A) express information B) touch everything C) think D) give clue E) analyse
Answer:",E
"Question: The man didn't do great in college, all his best memories were late night with his brothers at the what?
Choices: A) big city B) fraternity house C) school D) building E) big town
Answer:",B
"Question: In a horror movie victims usually trip when the run in order to do what in regards to the killer?
Choices: A) frightened B) run up stairs C) get away from D) go quickly E) go faster
Answer:",C
"Question: The coach decided to make a lineup change, the team's effort was suffering from what?
Choices: A) stagnant B) stagnation C) tradition D) hunger E) paper money
Answer:",B
"Question: Where would you go if you want to buy some clothes?
Choices: A) mall B) grocery store C) grocery store D) shop E) supermarket
Answer:",A
"Question: Where is food likely to stay dry?
Choices: A) etna B) cupboard C) oven D) stomach E) fridge
Answer:",B
"Question: What is it called when a person with mental illness is able to lead a relatively normal life?
Choices: A) managed B) effectively treated C) recur D) cause delusion E) illusion
Answer:",A
"Question: Where do you keep musical instrument so it doesn't get scratched?
Choices: A) bank B) orchestra C) case D) music room E) movie
Answer:",C
"Question: The woman is watching television and trying to forget her day, what is her goal?
Choices: A) entertainment B) falling asleep C) getting fat D) crying E) relaxation
Answer:",E
"Question: While John Candy and Dan Aykroyd didn't run into a gazelle, you'd have to go where to see one?
Choices: A) eastern hemisphere B) the city C) open plain D) television program E) great outdoors
Answer:",E
"Question: When we are running what are we doing?
Choices: A) stretches B) running from police C) learn to walk D) go quickly E) get out of bed
Answer:",D
"Question: It's dangerous to let pet birds free so it's better to keep them what?
Choices: A) slavery B) caught C) caged in D) topfree E) prisoner
Answer:",C
"Question: A beaver is know for building prowess, their supplies come from where?
Choices: A) british columbia B) body of water C) wooded area D) pay debts E) zoo
Answer:",C
"Question: Zane doesn't like answering questions.  He's not good at it because he suffers from what?
Choices: A) panic B) discussion C) attention D) confusion E) satisfaction
Answer:",D
"Question: Going public about a common problem can gain what for a celebrity?
Choices: A) wide acceptance B) a degree C) pain D) getting high E) press coverage
Answer:",A
"Question: The electricity went out and everyone was shrouded in darkness.  They all remained in their seats, because it would have been dangerous to try to find there way out.  Where mihgt they have been?
Choices: A) opera B) concert C) basement D) bedroom E) grand canyon
Answer:",A
"Question: Where could you find hundreds of beauty salon?
Choices: A) clerk B) mall C) strip mall D) city E) neighborhood
Answer:",D
"Question: If it is Chrismas time what came most recently before?
Choices: A) halloween B) summer C) easter D) kwaanza E) give gift
Answer:",A
"Question: If someone found out their brother was having a daughter, they would have to add a niece limb to the what?
Choices: A) family picture book B) family reunion C) brother's house D) family tree E) baby shower
Answer:",D
"Question: The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?
Choices: A) willing B) optional C) should not D) have to E) unnecessary
Answer:",E
"Question: what do you fill with ink to write?
Choices: A) squid B) fountain pen C) pencil case D) newspaper E) printer
Answer:",B
"Question: He walked into the room and had a great shock, his friends had what him?
Choices: A) expected B) wanting C) calm D) thundershock E) surprised
Answer:",E
"Question: He wasn't the hugging type, even when he meet friend he'd just do what?
Choices: A) have sex B) smile C) hug each other D) conversation E) handshake
Answer:",E
"Question: If you were lost you might need a map, the best place to find one on the road is at any what?
Choices: A) truck stop B) amusement park C) atlas D) mall E) gas station
Answer:",E
"Question: Where would you put a net if you wanted to use it?
Choices: A) sports B) fishing gear C) soccer game D) fishing boat E) badminton
Answer:",D
"Question: Sage loved communicating  He liked doing what with his peers?
Choices: A) exchanging ideas B) confusion C) peer pressure D) response E) learning
Answer:",A
"Question: Where would a cat snuggle up with their human?
Choices: A) floor B) humane society C) bed D) comfortable chair E) window sill
Answer:",D
"Question: What is a place that has large cable hanging overhead?
Choices: A) radio shack B) electrical device C) shower D) substation E) television
Answer:",D
"Question: Where do cars usually travel at very high speeds?
Choices: A) freeway B) road C) race track D) alley E) parking lot
Answer:",C
"Question: What might a person be watching if they see a man with a suitcase full of money?
Choices: A) baggage compartment B) movie C) subway D) airplane E) cargo hold
Answer:",B
"Question: Eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?
Choices: A) mess B) hungry C) feel guilty D) indigestion E) spills
Answer:",C
"Question: If I put in my key and open a hinged door, where am I likely entering?
Choices: A) kitchen B) safe C) own house D) building E) pantry
Answer:",C
"Question: If somebody is working at a reception desk, they are located at the front entrance of the what?
Choices: A) motel B) hostel C) building D) lobby E) office park
Answer:",C
"Question: If you're reading a newspaper from another country what are you doing?
Choices: A) learning about world B) education C) get angry D) concern E) eat cake
Answer:",A
"Question: They wanted to recognize his accomplishment, where should they put his name?
Choices: A) certificate B) directory C) phone book D) lineup E) roster
Answer:",A
"Question: What is it called when a person tends to leave things to the last minute?
Choices: A) procrastinate B) complete collection C) headache D) good time management E) have to hold
Answer:",A
"Question: What will you do if you do not want to settle in one place?
Choices: A) walk B) agitate C) wander D) remove E) disturb
Answer:",C
"Question: Where would a person live that isn't in the metro area but still has good schools?
Choices: A) woods B) bed C) suburbs D) rural E) neighborhood
Answer:",C
"Question: Jane works for the government as a senator, where does she spend a lot of time?
Choices: A) capitol building B) everything C) washington d.c D) russia E) canada
Answer:",A
"Question: What is it called when two people in love have children?
Choices: A) take oath B) procreate C) matrimony D) please parents E) live life
Answer:",B
"Question: What did the policemen do when they heard a cry from a distance?
Choices: A) run away B) hurry along C) fine motorists D) direct traffic E) help
Answer:",E
"Question: It takes ambition to complete a job, but the first step is to what?
Choices: A) take care of proposals B) begin work C) in charge of project D) eat cake E) go to school
Answer:",B
"Question: Where would I not want a fox?
Choices: A) hen house B) english hunt C) mountains D) outside bedroom window E) england
Answer:",A
"Question: What type of building has the most top floor?
Choices: A) go down B) apartment building C) tall building D) office building E) cabin
Answer:",C
"Question: What do humans do to other humans after death?
Choices: A) celebrate B) burial C) life D) rebirth E) decomposition
Answer:",B
"Question: Where can you find a restaurant's phone number?
Choices: A) yellow pages B) town C) business sector D) town E) at hotel
Answer:",A
"Question: What would you put coins into to make it work?
Choices: A) stove B) water fountain C) desk D) purse E) jar
Answer:",B
"Question: A patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?
Choices: A) city B) canada C) minnesota D) thermal E) photograph
Answer:",E
"Question: Where can you go to use a piano in your neighborhood if you don't have one?
Choices: A) music school B) music store C) neighbor's house D) lunch E) drawing room
Answer:",C
"Question: Where would you get a shower curtain if you do not have one?
Choices: A) department store B) restaurant C) hotel D) dime store E) bathtub
Answer:",A
"Question: Kissing is normally an activity reserved for your romantic what?
Choices: A) anus B) partner C) arousal D) trust E) cooperation
Answer:",B
"Question: What does a child learn to do before school?
Choices: A) count to ten B) state name C) dress herself D) clean room E) socialize
Answer:",C
"Question: He was getting advice for the job interview, they told him when talking to the interviewer always make what?
Choices: A) get tired of B) small talk C) eye contact D) friendship E) social life
Answer:",C
"Question: According to what book did an apple tree lead to the downfall of man?
Choices: A) bible B) spain C) harry potter D) new york E) woods
Answer:",A
"Question: The neighborhood had a great sense of community, there was always a crowd at the landing of the what?
Choices: A) stairwell B) arena C) ocean D) airport E) apartment building
Answer:",E
"Question: What might a kind person do?
Choices: A) cross street B) talk to themselves C) open doors D) throw away E) study greek
Answer:",C
"Question: What will a person do at work?
Choices: A) cross street B) draw attention to themselves C) make money D) falling down E) come home
Answer:",C
"Question: John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?
Choices: A) tennessee B) south carolina C) louisiana D) oklahoma E) mountains
Answer:",B
"Question: Name a location where you would not want to find mice.
Choices: A) loft B) attic C) bell cat D) countryside E) laboratory
Answer:",B
"Question: The man started to learn jogging, what was he hoping to do?
Choices: A) exhaustion B) getting in shape C) fitness D) injure himself E) fatigue
Answer:",B
"Question: Where do most people turn to get information on their phones?
Choices: A) internet B) book C) online D) google E) manual
Answer:",D
"Question: What happens to a body after death?
Choices: A) rebirth B) human experience C) sadness D) decomposition E) obesity
Answer:",D
"Question: What type of non-vegetarian soup is one likely to find a potato?
Choices: A) beef stew B) own kitchen C) clam chowder D) kitchen cabinet E) pantry
Answer:",C
"Question: Though she had a disability, what did her encouraging and positive coach see in her?
Choices: A) qualification B) strength C) pity D) competence E) potential
Answer:",E
"Question: They had a theory of what they could do in t he big game, so over and over they would what?
Choices: A) park B) practice C) fact D) practical E) practise
Answer:",B
"Question: When you see something rise, you are where in relation to it?
Choices: A) sun set B) near C) fall D) below E) lower
Answer:",D
"Question: They were getting ready for a really long hike, he put the food can in his what?
Choices: A) cabinet B) house C) recycling center D) backpack E) make person sick
Answer:",D
"Question: Where would you keep a rug near your front door?
Choices: A) persia B) desk C) table D) living room E) hall
Answer:",D
"Question: When you slip from a ladder propped on anything what will you do?
Choices: A) obesity B) fall down C) matter to D) whatever E) surprise
Answer:",B
"Question: What do you do when you need to get food?
Choices: A) table B) disneyland C) refrigerators D) pantry E) shop
Answer:",E
"Question: Brad tried to arise from bed but he could not.  Instead, he just continued to do what?
Choices: A) go down B) fall down C) lie down D) lie to himself E) sit down
Answer:",C
"Question: If a heifer is really high quality, you might take her where?
Choices: A) home B) dairy farm C) cattle show D) dairy barn E) corral
Answer:",C
"Question: What do people want to acquire from opening business?
Choices: A) home B) wealth C) bankruptcy D) lose money E) get rich
Answer:",B
"Question: What has someone who had finished their undergraduate done?
Choices: A) graduated B) masters C) postgraduate D) phd E) professor
Answer:",A
"Question: Where are bus stops more common in what parts?
Choices: A) ocean B) getting off of bus C) airport D) urban area E) towns
Answer:",D
"Question: Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?
Choices: A) bus station B) paradise C) train station D) park E) sea
Answer:",D
"Question: Where might a lemur frolic in the market?
Choices: A) desert B) hole C) india D) cage E) rain forest
Answer:",C
"Question: What might I place under the furniture?
Choices: A) rug B) room C) toy D) friend's house E) building
Answer:",A
"Question: Everybody began performing once their director stated what?
Choices: A) fear B) injury C) happiness D) action E) cut
Answer:",D
"Question: By learning about the world, many poor college students gain what?
Choices: A) pleasure B) greater mobility C) desire to travel D) global warming E) increased security
Answer:",C
"Question: Where are required to carry books all day?
Choices: A) friend's house B) university C) large city D) storage E) table
Answer:",B
"Question: where is seaweed from?
Choices: A) beach B) sea C) ocean D) water E) sea plant
Answer:",C
"Question: how can i store cooked steak?
Choices: A) oven B) freezer C) plate D) tupperware E) grill
Answer:",B
"Question: John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?
Choices: A) closet B) under the bed C) television D) attic E) most buildings
Answer:",D
"Question: Something had the nerve to break into the garbage last night, what did it?
Choices: A) eyes B) animal C) fingertips D) brainstem E) human body
Answer:",B
"Question: Where would you go to get some pamphlets if you want to own them?
Choices: A) bookstore B) drawer C) health department D) mail box E) library
Answer:",A
"Question: The audience cheered when a goal was scored, what were they spectating?
Choices: A) school B) sporting event C) concert hall D) show E) television
Answer:",B
"Question: What western state has thousands of miles of shore?
Choices: A) picture of sea side B) seaside town C) beach D) california E) see side picture
Answer:",D
